FD:A1:04:E0:B2:92,name
datetime,value
2023-01-26 13:26:14.270000,0
2023-01-26 13:26:15.271000,0
2023-01-26 13:26:16.270000,0
2023-01-26 13:26:17.270000,0
2023-01-26 13:26:18.271000,0
2023-01-26 13:26:19.270000,0
2023-01-26 13:26:20.270000,0
2023-01-26 13:26:21.271000,0
2023-01-26 13:26:22.270000,0
2023-01-26 13:26:23.270000,0
2023-01-26 13:26:24.269000,0
2023-01-26 13:26:25.270000,0
2023-01-26 13:26:26.270000,0
2023-01-26 13:26:27.269000,0
2023-01-26 13:26:28.270000,0
2023-01-26 13:26:29.270000,0
2023-01-26 13:26:30.269000,0
2023-01-26 13:26:31.270000,0
2023-01-26 13:26:32.269000,0
2023-01-26 13:26:33.269000,0
2023-01-26 13:26:34.270000,0
2023-01-26 13:26:35.269000,0
2023-01-26 13:26:36.269000,0
2023-01-26 13:26:37.270000,0
2023-01-26 13:26:38.269000,0
2023-01-26 13:26:39.269000,0
2023-01-26 13:26:40.268000,0
2023-01-26 13:26:41.269000,0
2023-01-26 13:26:42.269000,0
2023-01-26 13:26:43.268000,0
2023-01-26 13:26:44.269000,0
2023-01-26 13:26:45.269000,0
2023-01-26 13:26:46.268000,0
2023-01-26 13:26:47.269000,0
2023-01-26 13:26:48.268000,0
2023-01-26 13:26:49.268000,0
2023-01-26 13:26:50.267000,0
2023-01-26 13:26:51.268000,0
2023-01-26 13:26:52.268000,0
2023-01-26 13:26:53.267000,0
2023-01-26 13:26:54.268000,0
2023-01-26 13:26:55.268000,0
2023-01-26 13:26:56.267000,0
2023-01-26 13:26:57.268000,0
2023-01-26 13:26:58.268000,0
2023-01-26 13:26:59.267000,0
2023-01-26 13:27:00.268000,0
2023-01-26 13:27:01.267000,0
2023-01-26 13:27:02.267000,0
2023-01-26 13:27:03.268000,0
2023-01-26 13:27:04.267000,0
2023-01-26 13:27:05.267000,0
2023-01-26 13:27:06.268000,0
2023-01-26 13:27:07.267000,0
2023-01-26 13:27:08.267000,0
2023-01-26 13:27:09.268000,0
2023-01-26 13:27:10.267000,0
2023-01-26 13:27:11.267000,0
2023-01-26 13:27:12.266000,0
2023-01-26 13:27:13.267000,0
