FD:A1:04:E0:B2:92,name
datetime,value
2023-01-26 12:22:27.492000,26.25
2023-01-26 12:22:28.492000,26.375
2023-01-26 12:22:29.491000,26.375
2023-01-26 12:22:30.492000,26.25
2023-01-26 12:22:31.492000,26.25
2023-01-26 12:22:32.491000,26.25
2023-01-26 12:22:33.492000,26.375
2023-01-26 12:22:34.492000,26.125
2023-01-26 12:22:35.491000,26.375
2023-01-26 12:22:36.492000,26.25
2023-01-26 12:22:37.491000,26.25
2023-01-26 12:22:38.491000,26.25
2023-01-26 12:22:39.492000,26.375
2023-01-26 12:22:40.491000,26.25
2023-01-26 12:22:41.491000,26.25
2023-01-26 12:22:42.492000,26.25
2023-01-26 12:22:43.491000,26.375
2023-01-26 12:22:44.491000,26.0
2023-01-26 12:22:45.490000,26.375
2023-01-26 12:22:46.491000,26.125
2023-01-26 12:22:47.491000,26.25
2023-01-26 12:22:48.490000,26.125
2023-01-26 12:22:49.491000,26.25
2023-01-26 12:22:50.491000,26.125
2023-01-26 12:22:51.490000,26.375
2023-01-26 12:22:52.491000,26.375
2023-01-26 12:22:53.490000,26.125
2023-01-26 12:22:54.490000,26.125
2023-01-26 12:22:55.491000,26.125
2023-01-26 12:22:56.490000,26.25
2023-01-26 12:22:57.490000,26.125
2023-01-26 12:22:58.491000,26.25
2023-01-26 12:22:59.490000,26.25
2023-01-26 12:23:00.490000,26.125
2023-01-26 12:23:01.490000,26.25
2023-01-26 12:23:02.490000,26.25
2023-01-26 12:23:03.490000,26.25
2023-01-26 12:23:04.490000,26.25
2023-01-26 12:23:05.490000,26.375
2023-01-26 12:23:06.490000,26.375
2023-01-26 12:23:07.490000,26.25
2023-01-26 12:23:08.490000,26.125
2023-01-26 12:23:09.489000,26.375
2023-01-26 12:23:10.490000,26.25
2023-01-26 12:23:11.490000,26.375
2023-01-26 12:23:12.489000,26.25
2023-01-26 12:23:13.490000,26.375
2023-01-26 12:23:14.490000,26.25
2023-01-26 12:23:15.489000,26.25
2023-01-26 12:23:16.490000,26.375
2023-01-26 12:23:17.489000,26.25
2023-01-26 12:23:18.489000,26.375
2023-01-26 12:23:19.490000,26.375
2023-01-26 12:23:20.489000,26.25
2023-01-26 12:23:21.489000,26.375
2023-01-26 12:23:22.490000,26.25
2023-01-26 12:23:23.489000,26.375
2023-01-26 12:23:24.489000,26.375
2023-01-26 12:23:25.488000,26.375
2023-01-26 12:23:26.489000,26.375
2023-01-26 12:23:27.489000,26.5
2023-01-26 12:23:28.488000,26.375
2023-01-26 12:23:29.489000,26.375
2023-01-26 12:23:30.489000,26.375
2023-01-26 12:23:31.488000,26.25
2023-01-26 12:23:32.489000,26.25
2023-01-26 12:23:33.488000,26.375
2023-01-26 12:23:34.488000,26.25
2023-01-26 12:23:35.489000,26.375
2023-01-26 12:23:36.488000,26.125
2023-01-26 12:23:37.488000,26.375
2023-01-26 12:23:38.489000,26.375
2023-01-26 12:23:39.488000,26.375
2023-01-26 12:23:40.488000,26.25
2023-01-26 12:23:41.487000,26.25
2023-01-26 12:23:42.488000,26.375
2023-01-26 12:23:43.488000,26.125
2023-01-26 12:23:44.487000,26.125
2023-01-26 12:23:45.488000,26.25
2023-01-26 12:23:46.488000,26.25
2023-01-26 12:23:47.487000,26.375
2023-01-26 12:23:48.488000,26.25
2023-01-26 12:23:49.487000,26.375
2023-01-26 12:23:50.487000,26.375
2023-01-26 12:23:51.488000,26.25
2023-01-26 12:23:52.487000,26.375
2023-01-26 12:23:53.487000,26.375
2023-01-26 12:23:54.488000,26.125
2023-01-26 12:23:55.487000,26.25
2023-01-26 12:23:56.487000,26.375
2023-01-26 12:23:57.486000,26.25
2023-01-26 12:23:58.487000,26.375
2023-01-26 12:23:59.487000,26.375
2023-01-26 12:24:00.486000,26.375
2023-01-26 12:24:01.487000,26.375
2023-01-26 12:24:02.487000,26.375
2023-01-26 12:24:03.486000,26.375
2023-01-26 12:24:04.487000,26.25
2023-01-26 12:24:05.486000,26.375
2023-01-26 12:24:06.486000,26.375
2023-01-26 12:24:07.487000,26.375
2023-01-26 12:24:08.486000,26.375
2023-01-26 12:24:09.486000,26.375
2023-01-26 12:24:10.487000,26.375
2023-01-26 12:24:11.486000,26.375
2023-01-26 12:24:12.486000,26.375
2023-01-26 12:24:13.485000,26.375
2023-01-26 12:24:14.486000,26.125
2023-01-26 12:24:15.486000,26.375
2023-01-26 12:24:16.485000,26.375
2023-01-26 12:24:17.486000,26.375
2023-01-26 12:24:18.486000,26.375
2023-01-26 12:24:19.485000,26.375
2023-01-26 12:24:20.486000,26.25
2023-01-26 12:24:21.485000,26.375
2023-01-26 12:24:22.485000,26.375
2023-01-26 12:24:23.486000,26.375
2023-01-26 12:24:24.485000,26.375
2023-01-26 12:24:25.485000,26.5
2023-01-26 12:24:26.486000,26.375
2023-01-26 12:24:27.485000,26.375
2023-01-26 12:24:28.485000,26.25
2023-01-26 12:24:29.484000,26.375
2023-01-26 12:24:30.485000,26.375
2023-01-26 12:24:31.485000,26.625
2023-01-26 12:24:32.484000,26.375
2023-01-26 12:24:33.485000,26.375
2023-01-26 12:24:34.485000,26.375
2023-01-26 12:24:35.484000,26.375
2023-01-26 12:24:36.485000,26.375
2023-01-26 12:24:37.484000,26.5
2023-01-26 12:24:38.484000,26.25
2023-01-26 12:24:39.485000,26.5
2023-01-26 12:24:40.484000,26.375
2023-01-26 12:24:41.484000,26.375
2023-01-26 12:24:42.485000,26.375
2023-01-26 12:24:43.484000,26.5
2023-01-26 12:24:44.484000,26.375
2023-01-26 12:24:45.483000,26.375
2023-01-26 12:24:46.484000,26.375
2023-01-26 12:24:47.484000,26.375
2023-01-26 12:24:48.483000,26.5
2023-01-26 12:24:49.484000,26.375
2023-01-26 12:24:50.484000,26.5
2023-01-26 12:24:51.483000,26.375
2023-01-26 12:24:52.484000,26.5
2023-01-26 12:24:53.483000,26.375
2023-01-26 12:24:54.483000,26.375
2023-01-26 12:24:55.484000,26.5
2023-01-26 12:24:56.483000,26.375
2023-01-26 12:24:57.483000,26.375
2023-01-26 12:24:58.484000,26.5
2023-01-26 12:24:59.483000,26.5
2023-01-26 12:25:00.483000,26.25
2023-01-26 12:25:01.482000,26.375
2023-01-26 12:25:02.483000,26.375
2023-01-26 12:25:03.483000,26.5
2023-01-26 12:25:04.482000,26.375
2023-01-26 12:25:05.483000,26.375
2023-01-26 12:25:06.483000,26.375
2023-01-26 12:25:07.482000,26.375
2023-01-26 12:25:08.483000,26.375
2023-01-26 12:25:09.482000,26.375
2023-01-26 12:25:10.482000,26.375
2023-01-26 12:25:11.483000,26.375
2023-01-26 12:25:12.482000,26.5
2023-01-26 12:25:13.482000,26.375
2023-01-26 12:25:14.483000,26.375
2023-01-26 12:25:15.482000,26.375
2023-01-26 12:25:16.482000,26.375
2023-01-26 12:25:17.481000,26.375
2023-01-26 12:25:18.482000,26.375
2023-01-26 12:25:19.482000,26.5
2023-01-26 12:25:20.481000,26.375
2023-01-26 12:25:21.482000,26.625
2023-01-26 12:25:22.482000,26.375
2023-01-26 12:25:23.481000,26.375
2023-01-26 12:25:24.482000,26.375
2023-01-26 12:25:25.481000,26.5
2023-01-26 12:25:26.481000,26.375
2023-01-26 12:25:27.482000,26.375
2023-01-26 12:25:28.481000,26.5
2023-01-26 12:25:29.481000,26.5
2023-01-26 12:25:30.482000,26.5
2023-01-26 12:25:31.481000,26.375
2023-01-26 12:25:32.481000,26.375
2023-01-26 12:25:33.480000,26.375
2023-01-26 12:25:34.481000,26.375
2023-01-26 12:25:35.481000,26.5
2023-01-26 12:25:36.480000,26.375
2023-01-26 12:25:37.481000,26.5
2023-01-26 12:25:38.481000,26.375
2023-01-26 12:25:39.480000,26.625
2023-01-26 12:25:40.481000,26.5
2023-01-26 12:25:41.480000,26.375
2023-01-26 12:25:42.480000,26.5
2023-01-26 12:25:43.481000,26.375
2023-01-26 12:25:44.480000,26.5
2023-01-26 12:25:45.480000,26.375
2023-01-26 12:25:46.481000,26.375
2023-01-26 12:25:47.480000,26.625
2023-01-26 12:25:48.480000,26.5
2023-01-26 12:25:49.479000,26.375
2023-01-26 12:25:50.480000,26.375
2023-01-26 12:25:51.480000,26.375
2023-01-26 12:25:52.479000,26.5
2023-01-26 12:25:53.480000,26.5
2023-01-26 12:25:54.480000,26.375
2023-01-26 12:25:55.479000,26.5
2023-01-26 12:25:56.480000,26.375
2023-01-26 12:25:57.479000,26.375
2023-01-26 12:25:58.479000,26.375
2023-01-26 12:25:59.480000,26.5
2023-01-26 12:26:00.479000,26.5
2023-01-26 12:26:01.479000,26.5
2023-01-26 12:26:02.480000,26.375
2023-01-26 12:26:03.479000,26.375
2023-01-26 12:26:04.479000,26.5
2023-01-26 12:26:05.478000,26.5
2023-01-26 12:26:06.479000,26.375
2023-01-26 12:26:07.479000,26.375
2023-01-26 12:26:08.478000,26.5
2023-01-26 12:26:09.479000,26.375
2023-01-26 12:26:10.479000,26.375
2023-01-26 12:26:11.478000,26.625
2023-01-26 12:26:12.479000,26.5
2023-01-26 12:26:13.478000,26.375
2023-01-26 12:26:14.478000,26.375
2023-01-26 12:26:15.479000,26.625
2023-01-26 12:26:16.478000,26.375
2023-01-26 12:26:17.478000,26.375
2023-01-26 12:26:18.479000,26.375
2023-01-26 12:26:19.478000,26.375
2023-01-26 12:26:20.478000,26.5
2023-01-26 12:26:21.477000,26.375
2023-01-26 12:26:22.478000,26.375
2023-01-26 12:26:23.478000,26.5
2023-01-26 12:26:24.477000,26.375
2023-01-26 12:26:25.478000,26.375
2023-01-26 12:26:26.478000,26.375
2023-01-26 12:26:27.477000,26.375
2023-01-26 12:26:28.478000,26.5
2023-01-26 12:26:29.477000,26.5
2023-01-26 12:26:30.477000,26.375
2023-01-26 12:26:31.478000,26.625
2023-01-26 12:26:32.477000,26.5
2023-01-26 12:26:33.477000,26.375
2023-01-26 12:26:34.478000,26.5
2023-01-26 12:26:35.477000,26.5
2023-01-26 12:26:36.477000,26.5
2023-01-26 12:26:37.476000,26.5
2023-01-26 12:26:38.477000,26.5
2023-01-26 12:26:39.477000,26.375
2023-01-26 12:26:40.476000,26.5
2023-01-26 12:26:41.477000,26.5
2023-01-26 12:26:42.477000,26.5
2023-01-26 12:26:43.476000,26.5
2023-01-26 12:26:44.477000,26.5
2023-01-26 12:26:45.476000,26.375
2023-01-26 12:26:46.476000,26.5
2023-01-26 12:26:47.477000,26.625
2023-01-26 12:26:48.476000,26.375
2023-01-26 12:26:49.476000,26.375
2023-01-26 12:26:50.477000,26.375
2023-01-26 12:26:51.476000,26.5
2023-01-26 12:26:52.476000,26.375
2023-01-26 12:26:53.475000,26.5
2023-01-26 12:26:54.476000,26.5
2023-01-26 12:26:55.476000,26.75
2023-01-26 12:26:56.475000,26.375
2023-01-26 12:26:57.476000,26.5
2023-01-26 12:26:58.476000,26.375
2023-01-26 12:26:59.475000,26.5
2023-01-26 12:27:00.476000,26.375
2023-01-26 12:27:01.475000,26.375
2023-01-26 12:27:02.475000,26.5
2023-01-26 12:27:03.476000,26.5
2023-01-26 12:27:04.475000,26.375
2023-01-26 12:27:05.475000,26.625
2023-01-26 12:27:06.476000,26.5
2023-01-26 12:27:07.475000,26.5
2023-01-26 12:27:08.475000,26.375
2023-01-26 12:27:09.474000,26.625
2023-01-26 12:27:10.475000,26.75
2023-01-26 12:27:11.475000,26.5
2023-01-26 12:27:12.474000,26.5
2023-01-26 12:27:13.475000,26.5
2023-01-26 12:27:14.475000,26.375
2023-01-26 12:27:15.474000,26.625
2023-01-26 12:27:16.475000,26.375
2023-01-26 12:27:17.474000,26.5
2023-01-26 12:27:18.474000,26.5
2023-01-26 12:27:19.475000,26.625
2023-01-26 12:27:20.474000,26.375
2023-01-26 12:27:21.474000,26.375
2023-01-26 12:27:22.475000,26.5
2023-01-26 12:27:23.474000,26.375
2023-01-26 12:27:24.474000,26.375
2023-01-26 12:27:25.473000,26.625
2023-01-26 12:27:26.474000,26.5
2023-01-26 12:27:27.474000,26.625
2023-01-26 12:27:28.473000,26.5
2023-01-26 12:27:29.474000,26.5
2023-01-26 12:27:30.474000,26.5
2023-01-26 12:27:31.473000,26.5
2023-01-26 12:27:32.474000,26.375
2023-01-26 12:27:33.473000,26.625
2023-01-26 12:27:34.473000,26.375
2023-01-26 12:27:35.474000,26.5
2023-01-26 12:27:36.473000,26.625
2023-01-26 12:27:37.473000,26.625
2023-01-26 12:27:38.474000,26.5
2023-01-26 12:27:39.473000,26.625
2023-01-26 12:27:40.473000,26.5
2023-01-26 12:27:41.472000,26.5
2023-01-26 12:27:42.473000,26.625
2023-01-26 12:27:43.473000,26.5
2023-01-26 12:27:44.472000,26.375
2023-01-26 12:27:45.473000,26.375
2023-01-26 12:27:46.473000,26.375
2023-01-26 12:27:47.472000,26.5
2023-01-26 12:27:48.473000,26.5
2023-01-26 12:27:49.472000,26.375
2023-01-26 12:27:50.472000,26.5
2023-01-26 12:27:51.473000,26.5
2023-01-26 12:27:52.472000,26.5
2023-01-26 12:27:53.472000,26.5
2023-01-26 12:27:54.473000,26.375
2023-01-26 12:27:55.472000,26.625
2023-01-26 12:27:56.472000,26.5
2023-01-26 12:27:57.471000,26.625
2023-01-26 12:27:58.472000,26.5
2023-01-26 12:27:59.472000,26.375
2023-01-26 12:28:00.471000,26.5
2023-01-26 12:28:01.472000,26.5
2023-01-26 12:28:02.472000,26.5
2023-01-26 12:28:03.471000,26.625
2023-01-26 12:28:04.472000,26.5
2023-01-26 12:28:05.471000,26.375
2023-01-26 12:28:06.471000,26.625
2023-01-26 12:28:07.472000,26.5
2023-01-26 12:28:08.471000,26.375
2023-01-26 12:28:09.471000,26.5
2023-01-26 12:28:10.472000,26.5
2023-01-26 12:28:11.471000,26.75
2023-01-26 12:28:12.471000,26.375
2023-01-26 12:28:13.470000,26.375
2023-01-26 12:28:14.471000,26.625
2023-01-26 12:28:15.471000,26.5
2023-01-26 12:28:16.470000,26.625
2023-01-26 12:28:17.471000,26.5
2023-01-26 12:28:18.471000,26.5
2023-01-26 12:28:19.470000,26.5
2023-01-26 12:28:20.471000,26.5
2023-01-26 12:28:21.470000,26.375
2023-01-26 12:28:22.470000,26.5
2023-01-26 12:28:23.471000,26.375
2023-01-26 12:28:24.470000,26.5
2023-01-26 12:28:25.470000,26.625
2023-01-26 12:28:26.471000,26.5
2023-01-26 12:28:27.470000,26.5
2023-01-26 12:28:28.470000,26.625
2023-01-26 12:28:29.469000,26.5
2023-01-26 12:28:30.470000,26.5
2023-01-26 12:28:31.470000,26.5
2023-01-26 12:28:32.469000,26.625
2023-01-26 12:28:33.470000,26.5
2023-01-26 12:28:34.470000,26.375
2023-01-26 12:28:35.469000,26.625
2023-01-26 12:28:36.470000,26.625
2023-01-26 12:28:37.469000,26.625
2023-01-26 12:28:38.469000,26.5
2023-01-26 12:28:39.470000,26.75
2023-01-26 12:28:40.469000,26.75
2023-01-26 12:28:41.469000,26.625
2023-01-26 12:28:42.470000,26.5
2023-01-26 12:28:43.469000,26.75
2023-01-26 12:28:44.469000,26.375
2023-01-26 12:28:45.469000,26.75
2023-01-26 12:28:46.469000,26.5
2023-01-26 12:28:47.469000,26.5
2023-01-26 12:28:48.469000,26.5
2023-01-26 12:28:49.469000,26.5
2023-01-26 12:28:50.469000,26.625
2023-01-26 12:28:51.469000,26.5
2023-01-26 12:28:52.469000,26.375
2023-01-26 12:28:53.468000,26.625
2023-01-26 12:28:54.469000,26.5
2023-01-26 12:28:55.469000,26.625
2023-01-26 12:28:56.468000,26.625
2023-01-26 12:28:57.469000,26.5
2023-01-26 12:28:58.469000,26.5
