com.samsung.shealth.activity.day_summary,6233003,3
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
1397,929396,90,0,2023-02-21 08:42:54.770,2023-02-20 06:29:02.600,-1,38686,16,1033.7695,69.31053,e297b938-44a3-403b-96aa-08915f6b6ed0.extra_data.json,aZEautf6/t,3600,com.sec.android.app.shealth,925796,16800000,e297b938-44a3-403b-96aa-08915f6b6ed0,1676851200000,
6110,4007762,90,0,2023-02-12 13:06:51.658,2023-02-11 06:00:01.052,-1,240000,73,4543.5186,304.3799,ac765b58-d4f3-462e-9c78-b74e96ff8dab.extra_data.json,aZEautf6/t,2000,com.sec.android.app.shealth,4005762,8760000,ac765b58-d4f3-462e-9c78-b74e96ff8dab,1676073600000,
3178,2077079,90,0,2023-02-25 13:39:46.077,2023-02-24 06:00:00.436,-1,120000,37,2370.8477,158.76057,72ffe8f2-1b2c-4b60-9654-8b221f49e950.extra_data.json,aZEautf6/t,4800,com.sec.android.app.shealth,2072279,15240000,72ffe8f2-1b2c-4b60-9654-8b221f49e950,1677196800000,
1163,771182,90,0,2023-02-16 08:30:42.405,2023-02-15 06:00:01.233,-1,37885,13,868.40845,58.049713,daee61c1-e5ff-4a5c-b9bb-f80880dc0b6a.extra_data.json,aZEautf6/t,6800,com.sec.android.app.shealth,764382,13740000,daee61c1-e5ff-4a5c-b9bb-f80880dc0b6a,1676419200000,
4218,2782838,90,0,2023-02-26 09:54:26.540,2023-02-25 06:00:01.302,-1,180000,51,3112.4783,210.8904,936d90e3-643b-4eec-8599-b0cfa5b3bfeb.extra_data.json,aZEautf6/t,5600,com.sec.android.app.shealth,2777238,13860000,936d90e3-643b-4eec-8599-b0cfa5b3bfeb,1677283200000,
4273,2822652,90,0,2023-03-01 09:41:24.376,2023-02-28 06:00:05.938,-1,120000,51,3211.7944,212.52167,e32f3800-8ba4-43c0-9f26-ebba932a2ec2.extra_data.json,aZEautf6/t,8784,com.sec.android.app.shealth,2813868,7260000,e32f3800-8ba4-43c0-9f26-ebba932a2ec2,1677542400000,
4035,2612293,90,0,2023-02-18 09:21:26.487,2023-02-17 06:00:01.306,-1,120000,47,3026.9243,202.57983,849d2e4f-c42c-43b4-96f0-6a2634f2b9ea.extra_data.json,aZEautf6/t,5200,com.sec.android.app.shealth,2607093,18300000,849d2e4f-c42c-43b4-96f0-6a2634f2b9ea,1676592000000,
1740,1140108,90,0,2023-03-03 10:53:08.529,2023-03-02 06:00:01.437,-1,120000,20,1314.1886,87.560425,4472f1bf-6008-4db4-8ed2-4b924220a959.extra_data.json,aZEautf6/t,3600,com.sec.android.app.shealth,1136508,27360000,4472f1bf-6008-4db4-8ed2-4b924220a959,1677715200000,
2523,1648219,90,0,2023-02-22 08:25:06.393,2023-02-21 07:16:18.037,-1,60000,30,1916.4988,128.36029,c97e5ab9-9e7a-441e-b5bf-72ecd811ccd4.extra_data.json,aZEautf6/t,22800,com.sec.android.app.shealth,1625419,9540000,c97e5ab9-9e7a-441e-b5bf-72ecd811ccd4,1676937600000,
3837,2498266,90,0,2023-02-27 08:36:49.531,2023-02-26 06:35:25.607,-1,120000,45,2872.6987,190.46037,e48edcdf-72ff-48ac-a157-058a6946eb8f.extra_data.json,aZEautf6/t,6700,com.sec.android.app.shealth,2491566,14760000,e48edcdf-72ff-48ac-a157-058a6946eb8f,1677369600000,
1958,1284448,90,0,2023-02-24 06:57:13.711,2023-02-23 06:41:04.405,-1,120000,23,1461.6144,97.14995,273c5e4d-c6b0-46af-977a-1d488f6e7130.extra_data.json,aZEautf6/t,1200,com.sec.android.app.shealth,1283248,12960000,273c5e4d-c6b0-46af-977a-1d488f6e7130,1677110400000,
5018,3268542,90,0,2023-02-28 12:43:01.837,2023-02-27 06:02:37.648,-1,120000,60,3770.009,252.19193,06f8912c-7c6c-4559-a5cb-db1d3f18a290.extra_data.json,aZEautf6/t,16400,com.sec.android.app.shealth,3252142,16620000,06f8912c-7c6c-4559-a5cb-db1d3f18a290,1677456000000,
883,588427,90,0,2023-03-07 06:16:48.555,2023-03-06 06:41:42.196,-1,32683,10,656.8943,40.17169,ef90866f-777e-4c4c-ba3b-c259e95b1c6c.extra_data.json,aZEautf6/t,800,com.sec.android.app.shealth,587627,21360000,ef90866f-777e-4c4c-ba3b-c259e95b1c6c,1678060800000,
994,660328,90,0,2023-03-04 16:10:31.979,2023-03-03 06:00:01.129,-1,40020,11,740.4577,49.250454,42849a97-7ea5-49c6-8387-4d46e8c8157c.extra_data.json,aZEautf6/t,4000,com.sec.android.app.shealth,656328,22560000,42849a97-7ea5-49c6-8387-4d46e8c8157c,1677801600000,
1304,853214,90,0,2023-03-06 12:57:52.728,2023-03-05 06:00:01.343,-1,41750,14,978.93555,69.17017,22c286f9-115a-4db7-ac0e-86519e87d8a9.extra_data.json,aZEautf6/t,24800,com.sec.android.app.shealth,828414,19920000,22c286f9-115a-4db7-ac0e-86519e87d8a9,1677974400000,
3143,2050578,90,0,2023-03-05 11:53:08.410,2023-03-04 06:00:00.897,-1,240000,37,2322.3696,154.85052,bafbbc03-0231-4215-88e2-9dde2127626b.extra_data.json,aZEautf6/t,400,com.sec.android.app.shealth,2050178,19920000,bafbbc03-0231-4215-88e2-9dde2127626b,1677888000000,
2485,1614952,90,0,2023-03-02 14:53:11.859,2023-03-01 06:00:01.018,-1,120000,28,1846.1216,123.13049,d6445dde-a10a-4c5a-997f-33f536d6350b.extra_data.json,aZEautf6/t,3600,com.sec.android.app.shealth,1611352,13020000,d6445dde-a10a-4c5a-997f-33f536d6350b,1677628800000,
941,627647,90,0,2023-03-08 05:22:11.072,2023-03-07 06:00:01.889,-1,30015,11,687.60614,43.920998,832b4dcb-76ae-4ca9-b3d6-bcdec16bd761.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,627647,22920000,832b4dcb-76ae-4ca9-b3d6-bcdec16bd761,1678147200000,
