com.samsung.shealth.tracker.pedometer_day_summary,6233003,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
2822,a69baa0b-ff12-4dc1-8a5c-1732fa89a24c.binning_data.json,1723089,6000,18,2023-01-31 14:49:58.658,com.sec.android.app.shealth,2023-01-30 15:26:43.803,a69baa0b-ff12-4dc1-8a5c-1732fa89a24c.source_info.json,1.2253802,2111.4397,140.92987,2804,VfS0qUERdZ,com.sec.android.app.shealth,0,a69baa0b-ff12-4dc1-8a5c-1732fa89a24c.achievement.json,a69baa0b-ff12-4dc1-8a5c-1732fa89a24c,1675036800000,
1090,5a967fc1-9179-42a1-a653-30ac114ec6df.binning_data.json,652300,6000,7,2023-02-02 06:00:03.673,com.sec.android.app.shealth,2023-02-01 06:00:02.225,,1.2455146,812.4503,54.419807,1083,iRIQdWw88T,com.sec.android.app.shealth,0,5a967fc1-9179-42a1-a653-30ac114ec6df.achievement.json,5a967fc1-9179-42a1-a653-30ac114ec6df,1675123200000,
609,08698471-f4f2-441c-9772-71caaa7167de.binning_data.json,370400,6000,0,2023-02-03 06:00:01.955,com.sec.android.app.shealth,2023-02-03 06:00:01.955,,1.2296406,455.46,21.509996,609,aZEautf6/t,com.sec.android.app.shealth,0,08698471-f4f2-441c-9772-71caaa7167de.achievement.json,08698471-f4f2-441c-9772-71caaa7167de,1675296000000,
1235,dea87e1a-f38d-461f-9932-51ad083c3016.binning_data.json,746832,6000,7,2023-02-01 08:16:50.538,com.sec.android.app.shealth,2023-01-31 10:11:56.643,dea87e1a-f38d-461f-9932-51ad083c3016.source_info.json,1.2317629,919.9199,57.079845,1228,VfS0qUERdZ,com.sec.android.app.shealth,0,dea87e1a-f38d-461f-9932-51ad083c3016.achievement.json,dea87e1a-f38d-461f-9932-51ad083c3016,1675123200000,
2593,56c89361-066e-42d2-a287-0d64c4ff816b.binning_data.json,1560727,6000,0,2023-02-02 06:00:02.529,com.sec.android.app.shealth,2023-02-02 06:00:02.529,,1.2388265,1933.47,79.569984,2593,aZEautf6/t,com.sec.android.app.shealth,0,56c89361-066e-42d2-a287-0d64c4ff816b.achievement.json,56c89361-066e-42d2-a287-0d64c4ff816b,1675209600000,
841,9db5dfb8-780e-421e-949f-249fccf7d817.binning_data.json,519350,6000,2,2023-02-04 06:00:02.271,com.sec.android.app.shealth,2023-02-04 06:00:02.271,,1.2000381,623.2407,42.059933,839,iRIQdWw88T,com.sec.android.app.shealth,0,9db5dfb8-780e-421e-949f-249fccf7d817.achievement.json,9db5dfb8-780e-421e-949f-249fccf7d817,1675382400000,
1235,bbb97157-4318-492c-a954-2e3e5e5153c1.binning_data.json,618968,6000,29,2023-02-03 06:00:03.069,com.sec.android.app.shealth,2023-02-03 06:00:03.069,,1.5241662,943.4113,63.859806,1206,iRIQdWw88T,com.sec.android.app.shealth,0,bbb97157-4318-492c-a954-2e3e5e5153c1.achievement.json,bbb97157-4318-492c-a954-2e3e5e5153c1,1675296000000,
737,a61b54d3-9922-4b09-a9c2-42aa58dad2cb.binning_data.json,453075,6000,6,2023-02-05 06:00:02.434,com.sec.android.app.shealth,2023-02-05 06:00:02.434,,1.21823,551.94995,23.719997,731,aZEautf6/t,com.sec.android.app.shealth,0,a61b54d3-9922-4b09-a9c2-42aa58dad2cb.achievement.json,a61b54d3-9922-4b09-a9c2-42aa58dad2cb,1675468800000,
159,0c84e6e9-7387-4bbb-bd03-f615170702cc.binning_data.json,99614,6000,0,2023-02-04 06:00:01.339,com.sec.android.app.shealth,2023-02-04 06:00:01.339,,1.1816571,117.71,4.9599996,159,aZEautf6/t,com.sec.android.app.shealth,0,0c84e6e9-7387-4bbb-bd03-f615170702cc.achievement.json,0c84e6e9-7387-4bbb-bd03-f615170702cc,1675382400000,
1069,735e2886-89ea-485e-8cb6-23bf7afd73e9.binning_data.json,629371,6000,7,2023-02-06 06:00:02.744,com.sec.android.app.shealth,2023-02-06 06:00:02.744,,1.2735875,801.5599,52.89002,1062,iRIQdWw88T,com.sec.android.app.shealth,0,735e2886-89ea-485e-8cb6-23bf7afd73e9.achievement.json,735e2886-89ea-485e-8cb6-23bf7afd73e9,1675555200000,
1064,f3148470-1fa7-414e-9f27-20458e218e8d.binning_data.json,614165,6000,38,2023-02-06 06:00:02.722,com.sec.android.app.shealth,2023-02-05 06:00:03.572,,1.3096827,804.3618,55.499825,1026,iRIQdWw88T,com.sec.android.app.shealth,0,f3148470-1fa7-414e-9f27-20458e218e8d.achievement.json,f3148470-1fa7-414e-9f27-20458e218e8d,1675468800000,
