com.samsung.shealth.tracker.pedometer_step_count,6227003,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
4680,4,0,12,2023-01-23 01:55:00.000,,,2023-01-23 01:59:53.406,2023-01-23 01:59:53.406,12,2.1111112,9.88,0.4,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 01:56:00.000,8ff3f5fb-f6d2-4e14-9070-100307b2eddb,
40329,4,0,62,2023-01-23 01:29:00.000,,,2023-01-23 01:34:31.314,2023-01-23 01:34:31.314,62,1.1111112,44.81,2.3,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 01:30:00.000,8f8242f5-a99e-41cf-a00a-66a55fc211df,
16200,4,0,25,2023-01-23 01:21:00.000,,,2023-01-23 01:22:16.307,2023-01-23 01:22:16.307,25,1.1111112,18.0,0.92,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 01:22:00.000,8200a9a6-7350-47da-82d2-c09213684c25,
52217,4,0,95,2023-01-23 10:17:00.000,,,2023-01-23 10:21:28.209,2023-01-23 10:17:07.720,95,1.4068199,73.45996,2.9199955,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 10:18:00.000,85ae3a17-7cbe-42db-bc5a-3ab2c42b7679,
46005,4,0,87,2023-01-23 10:24:00.000,,,2023-01-23 10:32:32.423,2023-01-23 10:32:32.423,87,1.4722222,67.73,2.61,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 10:25:00.000,d9e52674-50a2-4b02-aca0-b1ebf3732a61,
19512,4,0,30,2023-01-23 01:28:00.000,,,2023-01-23 01:34:31.217,2023-01-23 01:34:31.217,30,1.1111112,21.68,1.15,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 01:29:00.000,b298d85a-0eb6-46d0-a9af-f9fbe670b2cc,
27482,4,0,43,2023-01-23 04:29:00.000,,,2023-01-23 04:30:06.535,2023-01-23 04:30:06.535,43,1.1388888,31.3,1.4,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 04:30:00.000,80648630-508b-401f-8672-3c773e1fac2a,
26160,4,0,44,2023-01-23 01:42:00.000,,,2023-01-23 01:46:28.288,2023-01-23 01:46:28.288,44,1.25,32.7,1.52,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 01:43:00.000,2bc98ab1-5bf1-4a77-ad37-1778d5711878,
5280,4,0,11,2023-01-23 10:45:00.000,,,2023-01-23 10:55:09.184,2023-01-23 10:55:09.184,11,1.6666666,8.8,0.32,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 10:46:00.000,574dc2f4-8c3a-4b58-8f63-8ea91e0f7318,
17691,4,0,32,2023-01-23 10:52:00.000,,,2023-01-23 10:58:23.614,2023-01-23 10:58:23.614,32,1.3611112,24.08,1.02,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 10:53:00.000,ddea04a6-b29e-4816-99e9-d0c8e9359ae7,
