F0:F2:5B:20:91:AD,name
datetime,value
2023-01-26 11:54:34.683000,26.875
2023-01-26 11:54:35.682000,26.75
2023-01-26 11:54:36.683000,26.5
2023-01-26 11:54:37.683000,26.625
2023-01-26 11:54:38.682000,26.625
2023-01-26 11:54:39.683000,26.625
2023-01-26 11:54:40.682000,26.75
2023-01-26 11:54:41.682000,26.75
2023-01-26 11:54:42.683000,26.75
2023-01-26 11:54:43.682000,26.625
2023-01-26 11:54:44.682000,26.75
2023-01-26 11:54:45.683000,26.625
2023-01-26 11:54:46.682000,26.625
2023-01-26 11:54:47.682000,26.625
2023-01-26 11:54:48.682000,26.625
2023-01-26 11:54:49.682000,26.5
2023-01-26 11:54:50.682000,26.625
2023-01-26 11:54:51.682000,26.625
2023-01-26 11:54:52.682000,26.625
2023-01-26 11:54:53.682000,26.625
2023-01-26 11:54:54.682000,26.5
2023-01-26 11:54:55.682000,26.5
2023-01-26 11:54:56.681000,26.625
2023-01-26 11:54:57.682000,26.5
2023-01-26 11:54:58.682000,26.5
2023-01-26 11:54:59.681000,26.625
2023-01-26 11:55:00.682000,26.625
2023-01-26 11:55:01.682000,26.5
2023-01-26 11:55:02.681000,26.5
2023-01-26 11:55:03.682000,26.5
2023-01-26 11:55:04.681000,26.5
2023-01-26 11:55:05.681000,26.5
2023-01-26 11:55:06.682000,26.5
2023-01-26 11:55:07.681000,26.75
2023-01-26 11:55:08.681000,26.5
2023-01-26 11:55:09.682000,26.5
2023-01-26 11:55:10.681000,26.5
2023-01-26 11:55:11.681000,26.75
2023-01-26 11:55:12.680000,26.625
2023-01-26 11:55:13.681000,26.75
2023-01-26 11:55:14.681000,26.5
2023-01-26 11:55:15.680000,26.5
2023-01-26 11:55:16.681000,26.375
2023-01-26 11:55:17.681000,26.375
2023-01-26 11:55:18.680000,26.5
2023-01-26 11:55:19.681000,26.5
2023-01-26 11:55:20.680000,26.5
2023-01-26 11:55:21.680000,26.5
2023-01-26 11:55:22.681000,26.625
2023-01-26 11:55:23.680000,26.5
2023-01-26 11:55:24.680000,26.375
2023-01-26 11:55:25.681000,26.625
2023-01-26 11:55:26.680000,26.5
2023-01-26 11:55:27.680000,26.5
2023-01-26 11:55:28.679000,26.5
2023-01-26 11:55:29.680000,26.375
2023-01-26 11:55:30.680000,26.625
2023-01-26 11:55:31.679000,26.5
2023-01-26 11:55:32.680000,26.5
2023-01-26 11:55:33.680000,26.5
2023-01-26 11:55:34.679000,26.5
2023-01-26 11:55:35.680000,26.5
2023-01-26 11:55:36.679000,26.75
2023-01-26 11:55:37.679000,26.5
2023-01-26 11:55:38.680000,26.375
2023-01-26 11:55:39.679000,26.5
2023-01-26 11:55:40.679000,26.625
2023-01-26 11:55:41.680000,26.625
2023-01-26 11:55:42.679000,26.5
2023-01-26 11:55:43.679000,26.75
2023-01-26 11:55:44.678000,26.75
2023-01-26 11:55:45.679000,26.75
2023-01-26 11:55:46.679000,26.5
2023-01-26 11:55:47.678000,26.75
2023-01-26 11:55:48.679000,26.5
2023-01-26 11:55:49.679000,26.625
2023-01-26 11:55:50.678000,26.625
2023-01-26 11:55:51.679000,26.625
2023-01-26 11:55:52.678000,26.5
2023-01-26 11:55:53.678000,26.5
2023-01-26 11:55:54.679000,26.375
2023-01-26 11:55:55.678000,26.625
2023-01-26 11:55:56.678000,26.5
2023-01-26 11:55:57.679000,26.625
2023-01-26 11:55:58.678000,26.625
2023-01-26 11:55:59.678000,26.5
2023-01-26 11:56:00.677000,26.625
2023-01-26 11:56:01.678000,26.5
2023-01-26 11:56:02.678000,26.625
2023-01-26 11:56:03.677000,26.5
2023-01-26 11:56:04.678000,26.375
2023-01-26 11:56:05.678000,26.75
2023-01-26 11:56:06.677000,26.75
2023-01-26 11:56:07.678000,26.375
2023-01-26 11:56:08.677000,26.875
2023-01-26 11:56:09.677000,26.5
2023-01-26 11:56:10.678000,26.5
2023-01-26 11:56:11.677000,26.625
2023-01-26 11:56:12.677000,26.5
2023-01-26 11:56:13.678000,26.5
2023-01-26 11:56:14.677000,26.5
2023-01-26 11:56:15.677000,26.375
2023-01-26 11:56:16.676000,26.625
2023-01-26 11:56:17.677000,26.625
2023-01-26 11:56:18.677000,26.375
2023-01-26 11:56:19.676000,26.625
2023-01-26 11:56:20.677000,26.375
2023-01-26 11:56:21.677000,26.375
2023-01-26 11:56:22.676000,26.5
2023-01-26 11:56:23.677000,26.625
2023-01-26 11:56:24.676000,26.375
2023-01-26 11:56:25.676000,26.625
2023-01-26 11:56:26.677000,26.5
2023-01-26 11:56:27.676000,26.625
2023-01-26 11:56:28.676000,26.5
2023-01-26 11:56:29.677000,26.625
2023-01-26 11:56:30.676000,26.75
2023-01-26 11:56:31.676000,26.625
2023-01-26 11:56:32.675000,26.375
2023-01-26 11:56:33.676000,26.5
2023-01-26 11:56:34.676000,26.625
2023-01-26 11:56:35.675000,26.375
2023-01-26 11:56:36.676000,26.75
2023-01-26 11:56:37.676000,26.625
2023-01-26 11:56:38.675000,26.375
2023-01-26 11:56:39.676000,26.625
2023-01-26 11:56:40.675000,26.5
2023-01-26 11:56:41.675000,26.625
2023-01-26 11:56:42.676000,26.625
2023-01-26 11:56:43.675000,26.5
2023-01-26 11:56:44.675000,26.75
2023-01-26 11:56:45.676000,26.625
2023-01-26 11:56:46.675000,26.75
2023-01-26 11:56:47.675000,26.625
2023-01-26 11:56:48.674000,26.75
2023-01-26 11:56:49.675000,26.5
2023-01-26 11:56:50.675000,26.625
2023-01-26 11:56:51.674000,26.5
2023-01-26 11:56:52.675000,26.625
2023-01-26 11:56:53.675000,26.625
2023-01-26 11:56:54.674000,26.375
2023-01-26 11:56:55.675000,26.625
2023-01-26 11:56:56.674000,26.5
2023-01-26 11:56:57.674000,26.625
2023-01-26 11:56:58.675000,26.625
2023-01-26 11:56:59.674000,26.5
2023-01-26 11:57:00.674000,26.625
2023-01-26 11:57:01.675000,26.75
2023-01-26 11:57:02.674000,26.5
2023-01-26 11:57:03.674000,26.625
2023-01-26 11:57:04.673000,26.5
2023-01-26 11:57:05.674000,26.625
2023-01-26 11:57:06.674000,26.5
2023-01-26 11:57:07.673000,26.5
2023-01-26 11:57:08.674000,26.5
2023-01-26 11:57:09.674000,26.5
2023-01-26 11:57:10.673000,26.875
2023-01-26 11:57:11.674000,26.625
2023-01-26 11:57:12.673000,26.375
2023-01-26 11:57:13.673000,26.625
2023-01-26 11:57:14.674000,26.375
2023-01-26 11:57:15.673000,26.375
2023-01-26 11:57:16.673000,26.5
2023-01-26 11:57:17.674000,26.375
2023-01-26 11:57:18.673000,26.625
2023-01-26 11:57:19.673000,26.625
2023-01-26 11:57:20.672000,26.5
2023-01-26 11:57:21.673000,26.625
2023-01-26 11:57:22.673000,26.5
2023-01-26 11:57:23.672000,26.75
2023-01-26 11:57:24.673000,26.375
2023-01-26 11:57:25.673000,26.375
2023-01-26 11:57:26.672000,26.75
2023-01-26 11:57:27.673000,26.5
2023-01-26 11:57:28.672000,26.375
2023-01-26 11:57:29.672000,26.625
2023-01-26 11:57:30.673000,26.5
2023-01-26 11:57:31.672000,26.5
