FA:30:6C:FE:9A:40,name
datetime,value
2023-01-26 13:24:04.194000,5807
2023-01-26 13:24:05.193000,11140
2023-01-26 13:24:06.193000,9362
2023-01-26 13:24:07.194000,8651
2023-01-26 13:24:08.193000,8770
2023-01-26 13:24:09.193000,6518
2023-01-26 13:24:10.192000,5688
2023-01-26 13:24:11.193000,8888
2023-01-26 13:24:12.193000,7466
2023-01-26 13:24:13.192000,8058
2023-01-26 13:24:14.193000,6044
2023-01-26 13:24:15.193000,8058
2023-01-26 13:24:16.192000,12918
2023-01-26 13:24:17.193000,9836
2023-01-26 13:24:18.192000,3910
2023-01-26 13:24:19.192000,10903
2023-01-26 13:24:20.193000,11732
2023-01-26 13:24:21.192000,13510
2023-01-26 13:24:22.192000,9362
2023-01-26 13:24:23.193000,11495
2023-01-26 13:24:24.192000,7940
2023-01-26 13:24:25.192000,14458
2023-01-26 13:24:26.191000,12206
2023-01-26 13:24:27.192000,11614
2023-01-26 13:24:28.192000,6044
2023-01-26 13:24:29.191000,11614
2023-01-26 13:24:30.192000,11140
2023-01-26 13:24:31.192000,9718
2023-01-26 13:24:32.191000,11258
2023-01-26 13:24:33.192000,4977
2023-01-26 13:24:34.191000,9599
2023-01-26 13:24:35.191000,17658
2023-01-26 13:24:36.192000,17066
2023-01-26 13:24:37.191000,14221
2023-01-26 13:24:38.191000,7466
2023-01-26 13:24:39.192000,8058
2023-01-26 13:24:40.191000,14577
2023-01-26 13:24:41.191000,9718
2023-01-26 13:24:42.190000,9718
2023-01-26 13:24:43.191000,8414
2023-01-26 13:24:44.191000,13747
2023-01-26 13:24:45.190000,19554
2023-01-26 13:24:46.191000,9007
2023-01-26 13:24:47.191000,8177
2023-01-26 13:24:48.190000,14340
2023-01-26 13:24:49.191000,12088
2023-01-26 13:24:50.190000,15880
2023-01-26 13:24:51.190000,5451
2023-01-26 13:24:52.191000,8177
2023-01-26 13:24:53.190000,13036
2023-01-26 13:24:54.190000,11614
2023-01-26 13:24:55.191000,12206
2023-01-26 13:24:56.190000,9599
2023-01-26 13:24:57.190000,8414
2023-01-26 13:24:58.189000,11140
2023-01-26 13:24:59.190000,9125
2023-01-26 13:25:00.190000,9718
2023-01-26 13:25:01.189000,9718
2023-01-26 13:25:02.190000,9955
2023-01-26 13:25:03.190000,9955
2023-01-26 13:25:04.189000,11140
2023-01-26 13:25:05.190000,11140
2023-01-26 13:25:06.189000,11140
2023-01-26 13:25:07.189000,11140
2023-01-26 13:25:08.190000,11140
2023-01-26 13:25:09.189000,11140
2023-01-26 13:25:10.189000,11140
2023-01-26 13:25:11.190000,11140
2023-01-26 13:25:12.189000,11140
2023-01-26 13:25:13.189000,11140
2023-01-26 13:25:14.188000,11140
2023-01-26 13:25:15.189000,9125
2023-01-26 13:25:16.189000,13273
2023-01-26 13:25:17.188000,6281
2023-01-26 13:25:18.189000,6044
2023-01-26 13:25:19.189000,6044
2023-01-26 13:25:20.188000,6636
2023-01-26 13:25:21.189000,6636
2023-01-26 13:25:22.188000,6044
2023-01-26 13:25:23.188000,9007
2023-01-26 13:25:24.189000,5451
2023-01-26 13:25:25.188000,3910
