FA:30:6C:FE:9A:40,name
datetime,value
2023-01-26 11:59:56.331000,{x : 0.136, y : 1.293, z : -0.289}
2023-01-26 11:59:57.605000,{x : -0.040, y : 0.974, z : -0.397}
2023-01-26 11:59:58.879000,{x : -0.307, y : 1.029, z : 0.145}
2023-01-26 12:00:00.154000,{x : 0.128, y : 1.011, z : -0.289}
2023-01-26 12:00:01.428000,{x : -0.236, y : 0.930, z : -0.310}
2023-01-26 12:00:02.703000,{x : 0.237, y : 0.875, z : 0.335}
2023-01-26 12:00:03.977000,{x : 0.130, y : 0.949, z : -0.384}
2023-01-26 12:00:05.251000,{x : -0.158, y : 1.174, z : 0.049}
2023-01-26 12:00:06.526000,{x : 0.227, y : 0.871, z : 0.247}
2023-01-26 12:00:07.800000,{x : 0.039, y : 0.996, z : -0.289}
2023-01-26 12:00:09.076000,{x : -0.297, y : 1.177, z : 0.008}
2023-01-26 12:00:10.351000,{x : 0.229, y : 1.031, z : -0.255}
2023-01-26 12:00:11.625000,{x : -0.104, y : 0.959, z : -0.330}
2023-01-26 12:00:12.899000,{x : 0.121, y : 0.961, z : -0.014}
2023-01-26 12:00:14.174000,{x : 0.145, y : 0.973, z : -0.319}
2023-01-26 12:00:15.448000,{x : -0.173, y : 1.021, z : -0.321}
2023-01-26 12:00:16.723000,{x : 0.404, y : 1.215, z : -0.079}
2023-01-26 12:00:17.997000,{x : -0.053, y : 0.945, z : -0.304}
2023-01-26 12:00:19.272000,{x : 0.029, y : 1.320, z : 0.102}
2023-01-26 12:00:20.546000,{x : 0.135, y : 0.898, z : -0.183}
2023-01-26 12:00:21.820000,{x : -0.012, y : 0.966, z : -0.341}
2023-01-26 12:00:23.095000,{x : 0.012, y : 1.436, z : -0.292}
2023-01-26 12:00:24.369000,{x : 0.096, y : 1.187, z : -0.310}
2023-01-26 12:00:25.644000,{x : -0.199, y : 0.966, z : -0.348}
2023-01-26 12:00:26.919000,{x : -0.050, y : 0.682, z : 0.258}
2023-01-26 12:00:28.194000,{x : 0.061, y : 0.992, z : -0.318}
2023-01-26 12:00:29.468000,{x : -0.194, y : 0.939, z : -0.343}
2023-01-26 12:00:30.743000,{x : -0.001, y : 1.373, z : -0.135}
2023-01-26 12:00:32.017000,{x : 0.139, y : 0.993, z : -0.332}
2023-01-26 12:00:33.292000,{x : -0.255, y : 0.845, z : -0.454}
2023-01-26 12:00:34.566000,{x : 0.279, y : 0.573, z : -0.289}
2023-01-26 12:00:35.840000,{x : 0.064, y : 0.987, z : -0.298}
2023-01-26 12:00:37.115000,{x : -0.513, y : 1.073, z : -0.170}
2023-01-26 12:00:38.389000,{x : 0.338, y : 0.828, z : -0.073}
2023-01-26 12:00:39.665000,{x : -0.033, y : 0.966, z : -0.366}
2023-01-26 12:00:40.939000,{x : -1.406, y : 0.682, z : -0.770}
2023-01-26 12:00:42.214000,{x : -0.043, y : 0.719, z : 0.176}
2023-01-26 12:00:43.488000,{x : 0.077, y : 0.988, z : -0.331}
2023-01-26 12:00:44.763000,{x : -0.198, y : 0.973, z : -0.231}
2023-01-26 12:00:46.037000,{x : -0.181, y : 1.198, z : 0.069}
2023-01-26 12:00:47.312000,{x : 0.136, y : 1.015, z : -0.279}
