FA:30:6C:FE:9A:40,name
datetime,value
2023-01-26 12:00:02.489000,23.125
2023-01-26 12:00:03.489000,23.25
2023-01-26 12:00:04.490000,23.25
2023-01-26 12:00:05.489000,23.125
2023-01-26 12:00:06.489000,23.125
2023-01-26 12:00:07.490000,23.125
2023-01-26 12:00:08.489000,23.125
2023-01-26 12:00:09.489000,23.5
2023-01-26 12:00:10.488000,23.25
2023-01-26 12:00:11.489000,23.125
2023-01-26 12:00:12.489000,23.125
2023-01-26 12:00:13.488000,23.125
2023-01-26 12:00:14.489000,23.125
2023-01-26 12:00:15.489000,23.25
2023-01-26 12:00:16.488000,23.125
2023-01-26 12:00:17.489000,23.125
2023-01-26 12:00:18.488000,23.125
2023-01-26 12:00:19.488000,23.25
2023-01-26 12:00:20.489000,23.125
2023-01-26 12:00:21.488000,23.25
2023-01-26 12:00:22.488000,23.125
2023-01-26 12:00:23.489000,23.0
2023-01-26 12:00:24.488000,23.125
2023-01-26 12:00:25.488000,23.125
2023-01-26 12:00:26.487000,23.375
2023-01-26 12:00:27.488000,23.125
2023-01-26 12:00:28.488000,23.125
2023-01-26 12:00:29.487000,23.125
2023-01-26 12:00:30.488000,23.125
2023-01-26 12:00:31.488000,23.125
2023-01-26 12:00:32.487000,23.125
2023-01-26 12:00:33.488000,23.125
2023-01-26 12:00:34.487000,23.125
2023-01-26 12:00:35.487000,23.125
2023-01-26 12:00:36.488000,23.125
2023-01-26 12:00:37.487000,23.125
2023-01-26 12:00:38.487000,23.125
2023-01-26 12:00:39.488000,23.0
2023-01-26 12:00:40.487000,23.125
2023-01-26 12:00:41.487000,23.125
2023-01-26 12:00:42.486000,23.125
2023-01-26 12:00:43.487000,23.0
2023-01-26 12:00:44.487000,23.0
2023-01-26 12:00:45.486000,23.125
2023-01-26 12:00:46.487000,23.125
2023-01-26 12:00:47.487000,23.125
2023-01-26 12:00:48.486000,23.0
2023-01-26 12:00:49.487000,23.0
2023-01-26 12:00:50.486000,23.0
2023-01-26 12:00:51.486000,23.125
2023-01-26 12:00:52.487000,23.125
2023-01-26 12:00:53.486000,23.0
2023-01-26 12:00:54.486000,23.125
2023-01-26 12:00:55.487000,23.125
2023-01-26 12:00:56.486000,23.25
2023-01-26 12:00:57.486000,23.125
2023-01-26 12:00:58.485000,23.125
2023-01-26 12:00:59.486000,23.0
2023-01-26 12:01:00.486000,23.0
2023-01-26 12:01:01.485000,23.0
2023-01-26 12:01:02.486000,23.0
2023-01-26 12:01:03.486000,23.125
2023-01-26 12:01:04.485000,23.25
2023-01-26 12:01:05.486000,23.0
2023-01-26 12:01:06.485000,23.125
2023-01-26 12:01:07.485000,23.0
2023-01-26 12:01:08.486000,22.875
2023-01-26 12:01:09.485000,23.0
2023-01-26 12:01:10.485000,23.125
2023-01-26 12:01:11.486000,23.0
2023-01-26 12:01:12.485000,23.0
2023-01-26 12:01:13.485000,23.125
2023-01-26 12:01:14.484000,23.0
2023-01-26 12:01:15.485000,23.0
2023-01-26 12:01:16.485000,23.125
2023-01-26 12:01:17.484000,23.0
2023-01-26 12:01:18.485000,23.125
2023-01-26 12:01:19.485000,23.125
2023-01-26 12:01:20.484000,23.125
2023-01-26 12:01:21.485000,23.0
2023-01-26 12:01:22.484000,22.875
2023-01-26 12:01:23.484000,22.875
2023-01-26 12:01:24.485000,23.0
2023-01-26 12:01:25.484000,22.75
2023-01-26 12:01:26.484000,23.0
2023-01-26 12:01:27.485000,22.875
2023-01-26 12:01:28.484000,22.875
2023-01-26 12:01:29.484000,23.0
2023-01-26 12:01:30.483000,22.875
2023-01-26 12:01:31.484000,23.0
2023-01-26 12:01:32.484000,22.75
2023-01-26 12:01:33.483000,23.0
2023-01-26 12:01:34.484000,23.0
2023-01-26 12:01:35.484000,23.125
