FF:30:2D:02:C6:4A,name
datetime,value
2023-01-26 11:56:19.976000,{x : 0.103, y : 1.000, z : -0.003}
2023-01-26 11:56:21.245000,{x : 0.086, y : 1.024, z : 0.217}
2023-01-26 11:56:22.512000,{x : -0.036, y : 0.916, z : 0.350}
2023-01-26 11:56:23.780000,{x : 0.029, y : 0.996, z : -0.011}
2023-01-26 11:56:25.049000,{x : 0.035, y : 0.991, z : 0.052}
2023-01-26 11:56:26.316000,{x : 0.033, y : 0.990, z : 0.058}
2023-01-26 11:56:27.584000,{x : 0.036, y : 0.971, z : 0.100}
2023-01-26 11:56:28.852000,{x : 0.038, y : 0.998, z : 0.094}
2023-01-26 11:56:30.120000,{x : 0.030, y : 0.994, z : 0.092}
2023-01-26 11:56:31.387000,{x : 0.032, y : 0.984, z : 0.092}
2023-01-26 11:56:32.656000,{x : 0.034, y : 0.983, z : 0.092}
2023-01-26 11:56:33.924000,{x : 0.031, y : 0.989, z : 0.091}
2023-01-26 11:56:35.191000,{x : 0.038, y : 0.986, z : 0.094}
2023-01-26 11:56:36.460000,{x : 0.032, y : 0.990, z : 0.096}
2023-01-26 11:56:37.728000,{x : 0.039, y : 0.992, z : 0.091}
2023-01-26 11:56:38.996000,{x : 0.033, y : 0.985, z : 0.099}
2023-01-26 11:56:40.264000,{x : 0.038, y : 0.993, z : 0.092}
2023-01-26 11:56:41.533000,{x : 0.032, y : 0.996, z : 0.098}
2023-01-26 11:56:42.800000,{x : 0.034, y : 0.990, z : 0.094}
2023-01-26 11:56:44.068000,{x : 0.034, y : 0.991, z : 0.086}
2023-01-26 11:56:45.335000,{x : 0.031, y : 0.988, z : 0.096}
2023-01-26 11:56:46.604000,{x : 0.041, y : 0.988, z : 0.100}
2023-01-26 11:56:47.871000,{x : 0.035, y : 0.989, z : 0.094}
2023-01-26 11:56:49.140000,{x : 0.037, y : 0.986, z : 0.091}
2023-01-26 11:56:50.407000,{x : 0.031, y : 0.987, z : 0.095}
2023-01-26 11:56:51.675000,{x : 0.037, y : 0.993, z : 0.102}
2023-01-26 11:56:52.944000,{x : 0.038, y : 0.989, z : 0.101}
2023-01-26 11:56:54.211000,{x : 0.038, y : 0.988, z : 0.096}
2023-01-26 11:56:55.479000,{x : 0.033, y : 0.989, z : 0.089}
2023-01-26 11:56:56.748000,{x : 0.029, y : 0.994, z : 0.097}
2023-01-26 11:56:58.015000,{x : 0.044, y : 0.986, z : 0.115}
2023-01-26 11:56:59.284000,{x : 0.047, y : 0.935, z : -0.319}
2023-01-26 11:57:00.552000,{x : 0.032, y : 0.967, z : -0.190}
2023-01-26 11:57:01.819000,{x : 0.102, y : 0.958, z : 0.221}
2023-01-26 11:57:03.088000,{x : 0.256, y : 0.929, z : -0.298}
2023-01-26 11:57:04.355000,{x : 0.252, y : 0.870, z : -0.163}
2023-01-26 11:57:05.623000,{x : 0.330, y : 0.940, z : -0.049}
2023-01-26 11:57:06.892000,{x : 0.326, y : 0.942, z : -0.020}
2023-01-26 11:57:08.159000,{x : 0.323, y : 0.942, z : -0.031}
2023-01-26 11:57:09.428000,{x : 0.306, y : 0.940, z : -0.090}
2023-01-26 11:57:10.695000,{x : 0.258, y : 0.846, z : -0.351}
2023-01-26 11:57:11.963000,{x : 0.284, y : 0.874, z : -0.384}
2023-01-26 11:57:13.232000,{x : 0.292, y : 0.895, z : -0.346}
2023-01-26 11:57:14.499000,{x : 0.267, y : 0.857, z : -0.382}
2023-01-26 11:57:15.768000,{x : 0.274, y : 0.954, z : -0.062}
2023-01-26 11:57:17.036000,{x : 0.279, y : 0.888, z : 0.268}
2023-01-26 11:57:18.303000,{x : -0.161, y : 0.724, z : 0.510}
2023-01-26 11:57:19.572000,{x : 0.147, y : 0.995, z : 0.133}
2023-01-26 11:57:20.839000,{x : -0.104, y : 0.833, z : 0.175}
2023-01-26 11:57:22.107000,{x : 0.008, y : 1.003, z : 0.104}
2023-01-26 11:57:23.376000,{x : -0.234, y : 0.953, z : 0.168}
2023-01-26 11:57:24.643000,{x : -0.233, y : 0.952, z : 0.167}
2023-01-26 11:57:25.912000,{x : -0.236, y : 0.948, z : 0.164}
2023-01-26 11:57:27.180000,{x : -0.237, y : 0.944, z : 0.168}
2023-01-26 11:57:28.447000,{x : -0.233, y : 0.954, z : 0.166}
2023-01-26 11:57:29.716000,{x : -0.231, y : 0.949, z : 0.168}
2023-01-26 11:57:30.984000,{x : -0.231, y : 0.955, z : 0.175}
2023-01-26 11:57:32.251000,{x : -0.237, y : 0.957, z : 0.171}
2023-01-26 11:57:33.520000,{x : -0.244, y : 0.951, z : 0.170}
2023-01-26 11:57:34.787000,{x : -0.237, y : 0.947, z : 0.164}
2023-01-26 11:57:36.056000,{x : -0.236, y : 0.952, z : 0.173}
2023-01-26 11:57:37.324000,{x : -0.229, y : 0.945, z : 0.192}
2023-01-26 11:57:38.591000,{x : -0.226, y : 0.952, z : 0.171}
2023-01-26 11:57:39.860000,{x : -0.232, y : 0.952, z : 0.175}
2023-01-26 11:57:41.128000,{x : -0.227, y : 0.953, z : 0.166}
2023-01-26 11:57:42.397000,{x : -0.237, y : 0.949, z : 0.172}
2023-01-26 11:57:43.664000,{x : -0.222, y : 0.951, z : 0.198}
2023-01-26 11:57:44.933000,{x : -0.228, y : 0.954, z : 0.191}
2023-01-26 11:57:46.201000,{x : -0.240, y : 0.931, z : 0.204}
2023-01-26 11:57:47.468000,{x : -0.232, y : 0.949, z : 0.206}
2023-01-26 11:57:48.737000,{x : -0.229, y : 0.937, z : 0.198}
2023-01-26 11:57:50.005000,{x : -0.234, y : 0.944, z : 0.181}
2023-01-26 11:57:51.272000,{x : -0.232, y : 0.944, z : 0.212}
2023-01-26 11:57:52.541000,{x : -0.231, y : 0.943, z : 0.195}
2023-01-26 11:57:53.810000,{x : -0.226, y : 0.950, z : 0.193}
2023-01-26 11:57:55.077000,{x : -0.227, y : 0.946, z : 0.189}
2023-01-26 11:57:56.345000,{x : -0.232, y : 0.939, z : 0.208}
2023-01-26 11:57:57.612000,{x : -0.232, y : 0.943, z : 0.189}
2023-01-26 11:57:58.881000,{x : -0.233, y : 0.940, z : 0.201}
2023-01-26 11:58:00.148000,{x : -0.226, y : 0.941, z : 0.197}
2023-01-26 11:58:01.416000,{x : -0.240, y : 0.948, z : 0.177}
2023-01-26 11:58:02.685000,{x : -0.228, y : 0.960, z : 0.191}
2023-01-26 11:58:03.952000,{x : -0.230, y : 0.949, z : 0.180}
2023-01-26 11:58:05.221000,{x : -0.224, y : 0.948, z : 0.192}
2023-01-26 11:58:06.488000,{x : -0.222, y : 0.944, z : 0.174}
2023-01-26 11:58:07.756000,{x : -0.229, y : 0.948, z : 0.183}
2023-01-26 11:58:09.023000,{x : -0.242, y : 0.950, z : 0.176}
2023-01-26 11:58:10.292000,{x : -0.238, y : 0.946, z : 0.182}
2023-01-26 11:58:11.559000,{x : -0.229, y : 0.950, z : 0.183}
2023-01-26 11:58:12.828000,{x : -0.230, y : 0.951, z : 0.185}
2023-01-26 11:58:14.096000,{x : -0.227, y : 0.952, z : 0.188}
2023-01-26 11:58:15.363000,{x : -0.229, y : 0.948, z : 0.191}
2023-01-26 11:58:16.632000,{x : -0.229, y : 0.950, z : 0.183}
2023-01-26 11:58:17.899000,{x : -0.231, y : 0.943, z : 0.180}
2023-01-26 11:58:19.167000,{x : -0.233, y : 0.952, z : 0.185}
2023-01-26 11:58:20.436000,{x : -0.234, y : 0.943, z : 0.182}
2023-01-26 11:58:21.703000,{x : -0.232, y : 0.951, z : 0.185}
2023-01-26 11:58:22.972000,{x : -0.234, y : 0.952, z : 0.183}
2023-01-26 11:58:24.239000,{x : -0.236, y : 0.941, z : 0.187}
2023-01-26 11:58:25.507000,{x : -0.225, y : 0.943, z : 0.203}
2023-01-26 11:58:26.774000,{x : -0.226, y : 0.942, z : 0.184}
2023-01-26 11:58:28.043000,{x : -0.225, y : 0.943, z : 0.207}
2023-01-26 11:58:29.310000,{x : -0.230, y : 0.946, z : 0.199}
2023-01-26 11:58:30.579000,{x : -0.229, y : 0.954, z : 0.182}
2023-01-26 11:58:31.846000,{x : -0.230, y : 0.943, z : 0.193}
2023-01-26 11:58:33.114000,{x : -0.226, y : 0.941, z : 0.196}
2023-01-26 11:58:34.381000,{x : -0.232, y : 0.951, z : 0.188}
2023-01-26 11:58:35.650000,{x : -0.233, y : 0.956, z : 0.167}
2023-01-26 11:58:36.917000,{x : -0.227, y : 0.952, z : 0.168}
2023-01-26 11:58:38.186000,{x : 0.040, y : 1.088, z : 0.324}
2023-01-26 11:58:39.454000,{x : -0.094, y : 0.979, z : -0.074}
2023-01-26 11:58:40.721000,{x : -0.612, y : 1.724, z : -0.333}
2023-01-26 11:58:41.990000,{x : -1.121, y : 1.761, z : -0.319}
2023-01-26 11:58:43.257000,{x : -1.792, y : 2.000, z : -0.809}
2023-01-26 11:58:44.525000,{x : -1.116, y : 1.119, z : -0.615}
2023-01-26 11:58:45.792000,{x : -0.402, y : 1.298, z : 0.145}
2023-01-26 11:58:47.061000,{x : 0.121, y : 1.686, z : -0.907}
2023-01-26 11:58:48.330000,{x : -0.215, y : 1.442, z : 0.026}
2023-01-26 11:58:49.597000,{x : 0.029, y : 0.413, z : -0.264}
2023-01-26 11:58:50.865000,{x : 0.076, y : 0.962, z : -0.253}
2023-01-26 11:58:52.132000,{x : -0.449, y : 1.161, z : -0.009}
2023-01-26 11:58:53.401000,{x : -0.107, y : 0.986, z : -0.236}
2023-01-26 11:58:54.669000,{x : -0.070, y : 1.016, z : -0.378}
2023-01-26 11:58:55.936000,{x : -0.096, y : 1.075, z : -0.224}
2023-01-26 11:58:57.205000,{x : -0.004, y : 0.990, z : -0.187}
2023-01-26 11:58:58.472000,{x : 0.617, y : 1.037, z : 0.138}
2023-01-26 11:58:59.741000,{x : 0.128, y : 0.519, z : -0.310}
2023-01-26 11:59:01.008000,{x : -0.168, y : 0.255, z : -0.722}
2023-01-26 11:59:02.276000,{x : 0.143, y : 0.184, z : -0.307}
2023-01-26 11:59:03.543000,{x : 0.085, y : 0.862, z : -0.077}
2023-01-26 11:59:04.812000,{x : -0.097, y : 1.888, z : -0.066}
2023-01-26 11:59:06.081000,{x : -0.041, y : 1.971, z : -0.154}
2023-01-26 11:59:07.348000,{x : -1.711, y : 1.384, z : -0.826}
2023-01-26 11:59:08.616000,{x : 0.061, y : 0.966, z : -0.245}
2023-01-26 11:59:09.883000,{x : 0.220, y : 0.949, z : -0.191}
2023-01-26 11:59:11.152000,{x : 0.207, y : 0.952, z : -0.184}
2023-01-26 11:59:12.419000,{x : 0.213, y : 0.952, z : -0.195}
2023-01-26 11:59:13.687000,{x : 0.172, y : 0.950, z : -0.192}
2023-01-26 11:59:14.956000,{x : 0.102, y : 0.969, z : -0.194}
2023-01-26 11:59:16.223000,{x : 0.144, y : 1.063, z : -0.180}
2023-01-26 11:59:17.492000,{x : -0.058, y : 0.948, z : -0.221}
2023-01-26 11:59:18.759000,{x : 0.039, y : 0.964, z : -0.231}
2023-01-26 11:59:20.027000,{x : -0.079, y : 0.929, z : -0.350}
2023-01-26 11:59:21.294000,{x : 0.060, y : 1.008, z : -0.180}
2023-01-26 11:59:22.563000,{x : -0.016, y : 1.013, z : -0.132}
2023-01-26 11:59:23.832000,{x : -0.043, y : 0.979, z : -0.103}
2023-01-26 11:59:25.099000,{x : -0.052, y : 0.965, z : -0.162}
2023-01-26 11:59:26.367000,{x : 0.045, y : 0.976, z : -0.167}
2023-01-26 11:59:27.634000,{x : 0.026, y : 0.979, z : -0.151}
2023-01-26 11:59:28.903000,{x : -0.224, y : 0.894, z : -0.092}
2023-01-26 11:59:30.170000,{x : 0.338, y : 1.171, z : -0.321}
2023-01-26 11:59:31.438000,{x : -0.105, y : 0.966, z : -0.272}
2023-01-26 11:59:32.706000,{x : 0.020, y : 0.911, z : -0.340}
2023-01-26 11:59:33.974000,{x : -0.302, y : 1.445, z : -0.178}
2023-01-26 11:59:35.241000,{x : -0.315, y : 1.642, z : -0.166}
2023-01-26 11:59:36.510000,{x : -0.043, y : 0.436, z : -0.088}
2023-01-26 11:59:37.778000,{x : -0.144, y : 1.126, z : -0.305}
2023-01-26 11:59:39.045000,{x : 0.009, y : 0.970, z : -0.296}
2023-01-26 11:59:40.314000,{x : -0.136, y : 1.237, z : -0.269}
2023-01-26 11:59:41.582000,{x : -0.017, y : 1.134, z : -0.293}
2023-01-26 11:59:42.850000,{x : -0.015, y : 0.996, z : -0.209}
2023-01-26 11:59:44.118000,{x : 0.154, y : 0.825, z : -0.313}
2023-01-26 11:59:45.387000,{x : -0.694, y : 1.635, z : -0.466}
2023-01-26 11:59:46.654000,{x : -0.187, y : 1.081, z : -0.257}
2023-01-26 11:59:47.922000,{x : -0.002, y : 1.010, z : -0.166}
2023-01-26 11:59:49.191000,{x : 0.022, y : 0.974, z : -0.293}
2023-01-26 11:59:50.458000,{x : -0.353, y : 1.412, z : -0.343}
2023-01-26 11:59:51.727000,{x : -0.164, y : 1.038, z : -0.093}
2023-01-26 11:59:52.995000,{x : -0.018, y : 0.989, z : -0.197}
2023-01-26 11:59:54.262000,{x : -0.023, y : 0.885, z : -0.328}
2023-01-26 11:59:55.531000,{x : -0.441, y : 0.657, z : -0.273}
2023-01-26 11:59:56.799000,{x : -0.107, y : 0.996, z : -0.257}
2023-01-26 11:59:58.066000,{x : 0.278, y : 0.892, z : -0.217}
2023-01-26 11:59:59.335000,{x : -0.345, y : 0.495, z : -0.280}
2023-01-26 12:00:00.603000,{x : -0.041, y : 0.950, z : -0.326}
2023-01-26 12:00:01.871000,{x : 0.375, y : 1.009, z : -0.605}
2023-01-26 12:00:03.139000,{x : 0.097, y : 1.202, z : -0.237}
2023-01-26 12:00:04.408000,{x : 0.032, y : 0.962, z : -0.272}
2023-01-26 12:00:05.675000,{x : -0.416, y : 1.061, z : 0.004}
2023-01-26 12:00:06.943000,{x : -0.161, y : 1.066, z : -0.230}
2023-01-26 12:00:08.212000,{x : 0.048, y : 0.970, z : -0.260}
2023-01-26 12:00:09.480000,{x : -0.165, y : 1.160, z : -0.199}
2023-01-26 12:00:10.748000,{x : -0.157, y : 1.067, z : -0.258}
2023-01-26 12:00:12.016000,{x : 0.212, y : 1.148, z : -0.147}
2023-01-26 12:00:13.285000,{x : -0.003, y : 1.125, z : -0.064}
2023-01-26 12:00:14.552000,{x : -0.003, y : 0.954, z : -0.225}
2023-01-26 12:00:15.820000,{x : -0.156, y : 1.225, z : -0.341}
2023-01-26 12:00:17.089000,{x : -0.091, y : 1.032, z : -0.219}
2023-01-26 12:00:18.356000,{x : 0.187, y : 0.881, z : -0.321}
2023-01-26 12:00:19.624000,{x : -0.299, y : 0.736, z : -0.280}
2023-01-26 12:00:20.893000,{x : -0.086, y : 1.031, z : -0.140}
2023-01-26 12:00:22.160000,{x : 0.323, y : 0.897, z : -0.225}
2023-01-26 12:00:23.429000,{x : -0.184, y : 0.385, z : -0.038}
2023-01-26 12:00:24.697000,{x : -0.061, y : 0.954, z : -0.263}
2023-01-26 12:00:25.966000,{x : -0.123, y : 1.335, z : -0.138}
2023-01-26 12:00:27.233000,{x : -0.041, y : 1.234, z : -0.134}
2023-01-26 12:00:28.501000,{x : 0.028, y : 0.958, z : -0.228}
2023-01-26 12:00:29.770000,{x : -0.565, y : 1.034, z : -0.092}
2023-01-26 12:00:31.039000,{x : -0.191, y : 1.086, z : -0.060}
2023-01-26 12:00:32.306000,{x : 0.036, y : 0.963, z : -0.265}
2023-01-26 12:00:33.574000,{x : -0.239, y : 1.230, z : -0.219}
2023-01-26 12:00:34.843000,{x : -0.211, y : 1.026, z : -0.258}
2023-01-26 12:00:36.111000,{x : 0.153, y : 1.040, z : -0.154}
2023-01-26 12:00:37.378000,{x : -0.250, y : 0.974, z : -0.263}
2023-01-26 12:00:38.647000,{x : -0.109, y : 1.029, z : -0.158}
2023-01-26 12:00:39.915000,{x : 0.168, y : 0.919, z : -0.281}
2023-01-26 12:00:41.184000,{x : -0.350, y : 1.303, z : -0.559}
2023-01-26 12:00:42.451000,{x : -0.069, y : 1.175, z : -0.145}
2023-01-26 12:00:43.720000,{x : 0.191, y : 1.098, z : -0.271}
2023-01-26 12:00:44.988000,{x : -0.191, y : 1.388, z : -0.281}
2023-01-26 12:00:46.257000,{x : -0.070, y : 1.178, z : -0.112}
2023-01-26 12:00:47.524000,{x : 0.042, y : 0.952, z : -0.235}
2023-01-26 12:00:48.792000,{x : -0.580, y : 1.015, z : -0.016}
2023-01-26 12:00:50.061000,{x : -0.109, y : 1.390, z : -0.454}
2023-01-26 12:00:51.328000,{x : 0.064, y : 0.936, z : -0.300}
2023-01-26 12:00:52.597000,{x : -0.256, y : 1.191, z : -0.341}
2023-01-26 12:00:53.865000,{x : -0.067, y : 1.014, z : -0.153}
2023-01-26 12:00:55.132000,{x : 0.137, y : 0.965, z : -0.361}
2023-01-26 12:00:56.401000,{x : -0.098, y : 0.521, z : -0.077}
2023-01-26 12:00:57.669000,{x : -0.049, y : 0.984, z : -0.183}
