FF:30:2D:02:C6:4A,name
datetime,value
2023-01-26 12:27:11.814000,1066
2023-01-26 12:27:12.814000,1659
2023-01-26 12:27:13.813000,1659
2023-01-26 12:27:14.814000,1659
2023-01-26 12:27:15.813000,1659
2023-01-26 12:27:16.813000,1659
2023-01-26 12:27:17.812000,1659
2023-01-26 12:27:18.813000,1659
2023-01-26 12:27:19.812000,1659
2023-01-26 12:27:20.812000,1659
2023-01-26 12:27:21.811000,1659
2023-01-26 12:27:22.812000,1659
2023-01-26 12:27:23.811000,1659
2023-01-26 12:27:24.811000,1659
2023-01-26 12:27:25.811000,1659
2023-01-26 12:27:26.811000,2692
2023-01-26 12:27:27.810000,1066
2023-01-26 12:27:28.811000,1659
2023-01-26 12:27:29.810000,1066
2023-01-26 12:27:30.810000,1066
2023-01-26 12:27:31.809000,1066
2023-01-26 12:27:32.810000,1066
2023-01-26 12:27:33.809000,1066
2023-01-26 12:27:34.809000,2692
2023-01-26 12:27:35.808000,2692
2023-01-26 12:27:36.809000,2692
2023-01-26 12:27:37.808000,1066
2023-01-26 12:27:38.808000,1066
2023-01-26 12:27:39.807000,1066
2023-01-26 12:27:40.808000,1066
2023-01-26 12:27:41.807000,1066
2023-01-26 12:27:42.807000,1659
2023-01-26 12:27:43.806000,1066
2023-01-26 12:27:44.807000,1066
2023-01-26 12:27:45.806000,1066
2023-01-26 12:27:46.806000,1066
2023-01-26 12:27:47.805000,1066
2023-01-26 12:27:48.806000,1066
2023-01-26 12:27:49.805000,1066
2023-01-26 12:27:50.805000,1066
2023-01-26 12:27:51.804000,1066
2023-01-26 12:27:52.805000,1066
2023-01-26 12:27:53.804000,1066
2023-01-26 12:27:54.804000,1066
2023-01-26 12:27:55.803000,1066
2023-01-26 12:27:56.804000,1066
2023-01-26 12:27:57.803000,1659
2023-01-26 12:27:58.803000,1659
2023-01-26 12:27:59.802000,1066
2023-01-26 12:28:00.803000,1066
2023-01-26 12:28:01.802000,1066
2023-01-26 12:28:02.802000,2692
2023-01-26 12:28:03.801000,2692
2023-01-26 12:28:04.802000,1659
2023-01-26 12:28:05.801000,1659
2023-01-26 12:28:06.801000,1659
2023-01-26 12:28:07.800000,1659
2023-01-26 12:28:08.801000,1659
2023-01-26 12:28:09.800000,1066
2023-01-26 12:28:10.800000,1066
2023-01-26 12:28:11.799000,1066
2023-01-26 12:28:12.800000,1066
2023-01-26 12:28:13.799000,1066
2023-01-26 12:28:14.799000,1066
2023-01-26 12:28:15.798000,1066
2023-01-26 12:28:16.799000,1066
2023-01-26 12:28:17.798000,1066
2023-01-26 12:28:18.798000,1066
2023-01-26 12:28:19.797000,1066
2023-01-26 12:28:20.798000,1066
2023-01-26 12:28:21.797000,1659
2023-01-26 12:28:22.797000,1066
2023-01-26 12:28:23.796000,1066
2023-01-26 12:28:24.797000,1659
2023-01-26 12:28:25.796000,1066
2023-01-26 12:28:26.796000,1066
2023-01-26 12:28:27.795000,1066
2023-01-26 12:28:28.796000,1066
2023-01-26 12:28:29.795000,1066
2023-01-26 12:28:30.795000,1066
2023-01-26 12:28:31.794000,1066
2023-01-26 12:28:32.795000,1066
2023-01-26 12:28:33.794000,1659
2023-01-26 12:28:34.794000,1066
2023-01-26 12:28:35.793000,1066
2023-01-26 12:28:36.794000,1066
2023-01-26 12:28:37.793000,1066
2023-01-26 12:28:38.793000,1066
2023-01-26 12:28:39.792000,1066
2023-01-26 12:28:40.793000,1066
2023-01-26 12:28:41.792000,1066
2023-01-26 12:28:42.792000,2692
2023-01-26 12:28:43.791000,2692
2023-01-26 12:28:44.792000,948
2023-01-26 12:28:45.791000,948
2023-01-26 12:28:46.791000,2692
2023-01-26 12:28:47.790000,2692
2023-01-26 12:28:48.791000,2692
2023-01-26 12:28:49.790000,2692
2023-01-26 12:28:50.790000,2692
2023-01-26 12:28:51.790000,2692
2023-01-26 12:28:52.790000,2692
2023-01-26 12:28:53.789000,2692
2023-01-26 12:28:54.790000,2692
2023-01-26 12:28:55.789000,2692
2023-01-26 12:28:56.789000,2692
2023-01-26 12:28:57.788000,2692
2023-01-26 12:28:58.789000,2692
2023-01-26 12:28:59.788000,2692
2023-01-26 12:29:00.788000,2692
2023-01-26 12:29:01.787000,2692
2023-01-26 12:29:02.788000,2692
2023-01-26 12:29:03.787000,2692
2023-01-26 12:29:04.787000,2692
2023-01-26 12:29:05.786000,1066
2023-01-26 12:29:06.787000,2692
2023-01-26 12:29:07.786000,2692
2023-01-26 12:29:08.786000,1066
2023-01-26 12:29:09.785000,1066
2023-01-26 12:29:10.786000,1066
2023-01-26 12:29:11.785000,1066
2023-01-26 12:29:12.785000,1066
2023-01-26 12:29:13.784000,1066
2023-01-26 12:29:14.785000,1066
2023-01-26 12:29:15.784000,1066
2023-01-26 12:29:16.784000,1066
2023-01-26 12:29:17.783000,1066
2023-01-26 12:29:18.784000,1066
2023-01-26 12:29:19.783000,1066
2023-01-26 12:29:20.783000,1066
2023-01-26 12:29:21.782000,1066
2023-01-26 12:29:22.783000,1066
2023-01-26 12:29:23.782000,1066
2023-01-26 12:29:24.782000,1066
2023-01-26 12:29:25.781000,1066
2023-01-26 12:29:26.782000,1066
2023-01-26 12:29:27.781000,1066
2023-01-26 12:29:28.781000,1066
2023-01-26 12:29:29.780000,2692
2023-01-26 12:29:30.781000,1777
2023-01-26 12:29:31.780000,1777
2023-01-26 12:29:32.780000,1777
2023-01-26 12:29:33.779000,1777
2023-01-26 12:29:34.780000,1777
2023-01-26 12:29:35.779000,1777
2023-01-26 12:29:36.779000,1777
2023-01-26 12:29:37.778000,1777
2023-01-26 12:29:38.779000,1777
2023-01-26 12:29:39.778000,1777
2023-01-26 12:29:40.778000,1777
2023-01-26 12:29:41.777000,1777
2023-01-26 12:29:42.778000,1777
2023-01-26 12:29:43.777000,1777
2023-01-26 12:29:44.777000,1777
2023-01-26 12:29:45.776000,1777
2023-01-26 12:29:46.777000,1777
2023-01-26 12:29:47.776000,1777
2023-01-26 12:29:48.776000,1777
2023-01-26 12:29:49.775000,1777
2023-01-26 12:29:50.776000,1777
2023-01-26 12:29:51.775000,1777
2023-01-26 12:29:52.775000,1777
2023-01-26 12:29:53.774000,1777
2023-01-26 12:29:54.775000,1777
2023-01-26 12:29:55.774000,1777
2023-01-26 12:29:56.774000,1777
2023-01-26 12:29:57.773000,1777
2023-01-26 12:29:58.774000,1777
2023-01-26 12:29:59.773000,1777
2023-01-26 12:30:00.773000,1777
2023-01-26 12:30:01.772000,1777
2023-01-26 12:30:02.773000,1777
2023-01-26 12:30:03.772000,1777
2023-01-26 12:30:04.772000,1777
2023-01-26 12:30:05.771000,1777
2023-01-26 12:30:06.772000,1777
2023-01-26 12:30:07.771000,1777
2023-01-26 12:30:08.771000,1777
2023-01-26 12:30:09.770000,1777
2023-01-26 12:30:10.771000,3061
2023-01-26 12:30:11.770000,1659
2023-01-26 12:30:12.770000,1659
2023-01-26 12:30:13.769000,1659
2023-01-26 12:30:14.770000,1659
2023-01-26 12:30:15.769000,1659
2023-01-26 12:30:16.769000,1659
2023-01-26 12:30:17.769000,1659
2023-01-26 12:30:18.769000,1659
2023-01-26 12:30:19.768000,1659
2023-01-26 12:30:20.769000,1659
2023-01-26 12:30:21.768000,1659
2023-01-26 12:30:22.768000,1659
2023-01-26 12:30:23.767000,1659
2023-01-26 12:30:24.768000,1659
2023-01-26 12:30:25.767000,1659
2023-01-26 12:30:26.767000,1659
2023-01-26 12:30:27.766000,1659
2023-01-26 12:30:28.767000,1659
2023-01-26 12:30:29.766000,1659
2023-01-26 12:30:30.766000,1659
2023-01-26 12:30:31.765000,1659
2023-01-26 12:30:32.766000,1659
2023-01-26 12:30:33.765000,1659
2023-01-26 12:30:34.765000,1659
2023-01-26 12:30:35.764000,1659
2023-01-26 12:30:36.765000,1659
2023-01-26 12:30:37.764000,1659
2023-01-26 12:30:38.764000,1659
2023-01-26 12:30:39.763000,1659
2023-01-26 12:30:40.764000,1659
2023-01-26 12:30:41.763000,1659
2023-01-26 12:30:42.763000,1659
2023-01-26 12:30:43.762000,1659
2023-01-26 12:30:44.763000,1659
2023-01-26 12:30:45.762000,1659
2023-01-26 12:30:46.762000,1659
2023-01-26 12:30:47.761000,1659
2023-01-26 12:30:48.762000,1659
2023-01-26 12:30:49.761000,1659
2023-01-26 12:30:50.761000,1659
2023-01-26 12:30:51.760000,1659
2023-01-26 12:30:52.761000,1659
2023-01-26 12:30:53.760000,1659
2023-01-26 12:30:54.760000,1659
2023-01-26 12:30:55.759000,1659
2023-01-26 12:30:56.760000,1659
2023-01-26 12:30:57.759000,1659
2023-01-26 12:30:58.759000,1659
2023-01-26 12:30:59.758000,1659
2023-01-26 12:31:00.759000,1659
2023-01-26 12:31:01.758000,1659
2023-01-26 12:31:02.758000,1659
2023-01-26 12:31:03.757000,1659
2023-01-26 12:31:04.758000,1659
2023-01-26 12:31:05.757000,1659
2023-01-26 12:31:06.757000,1659
2023-01-26 12:31:07.756000,1659
2023-01-26 12:31:08.757000,1659
2023-01-26 12:31:09.756000,1659
2023-01-26 12:31:10.756000,1659
2023-01-26 12:31:11.755000,1659
2023-01-26 12:31:12.756000,1659
2023-01-26 12:31:13.755000,1659
2023-01-26 12:31:14.755000,1659
2023-01-26 12:31:15.754000,1659
2023-01-26 12:31:16.755000,1659
2023-01-26 12:31:17.754000,1659
2023-01-26 12:31:18.754000,1659
2023-01-26 12:31:19.753000,1659
2023-01-26 12:31:20.754000,1659
2023-01-26 12:31:21.753000,1659
2023-01-26 12:31:22.753000,1659
2023-01-26 12:31:23.752000,1659
2023-01-26 12:31:24.753000,1659
2023-01-26 12:31:25.752000,1659
2023-01-26 12:31:26.752000,1659
2023-01-26 12:31:27.751000,1659
2023-01-26 12:31:28.752000,1659
2023-01-26 12:31:29.751000,1659
2023-01-26 12:31:30.751000,1659
2023-01-26 12:31:31.750000,1659
2023-01-26 12:31:32.751000,1659
2023-01-26 12:31:33.750000,1659
2023-01-26 12:31:34.750000,1066
2023-01-26 12:31:35.749000,1066
2023-01-26 12:31:36.750000,1066
2023-01-26 12:31:37.749000,1659
2023-01-26 12:31:38.749000,1659
2023-01-26 12:31:39.748000,1066
2023-01-26 12:31:40.749000,1659
2023-01-26 12:31:41.748000,1066
2023-01-26 12:31:42.748000,1066
2023-01-26 12:31:43.748000,1066
2023-01-26 12:31:44.748000,1066
2023-01-26 12:31:45.747000,1066
2023-01-26 12:31:46.748000,1066
2023-01-26 12:31:47.747000,1066
2023-01-26 12:31:48.747000,1659
2023-01-26 12:31:49.746000,1066
2023-01-26 12:31:50.747000,1066
2023-01-26 12:31:51.746000,1066
2023-01-26 12:31:52.746000,1659
2023-01-26 12:31:53.745000,1659
2023-01-26 12:31:54.746000,1066
2023-01-26 12:31:55.745000,1066
2023-01-26 12:31:56.745000,1066
2023-01-26 12:31:57.744000,1066
2023-01-26 12:31:58.745000,1066
2023-01-26 12:31:59.744000,1066
2023-01-26 12:32:00.744000,1066
2023-01-26 12:32:01.743000,1066
2023-01-26 12:32:02.744000,1066
2023-01-26 12:32:03.743000,1066
2023-01-26 12:32:04.743000,1066
2023-01-26 12:32:05.742000,1066
2023-01-26 12:32:06.743000,1066
2023-01-26 12:32:07.742000,1066
2023-01-26 12:32:08.742000,1066
2023-01-26 12:32:09.741000,1066
2023-01-26 12:32:10.742000,1066
2023-01-26 12:32:11.741000,1066
2023-01-26 12:32:12.741000,1659
2023-01-26 12:32:13.740000,1659
2023-01-26 12:32:14.741000,1659
2023-01-26 12:32:15.740000,1659
2023-01-26 12:32:16.740000,1659
2023-01-26 12:32:17.739000,1659
2023-01-26 12:32:18.740000,1659
2023-01-26 12:32:19.739000,1659
2023-01-26 12:32:20.739000,1659
2023-01-26 12:32:21.738000,1659
2023-01-26 12:32:22.739000,1659
2023-01-26 12:32:23.738000,1659
2023-01-26 12:32:24.738000,1659
2023-01-26 12:32:25.737000,1659
2023-01-26 12:32:26.738000,1659
2023-01-26 12:32:27.737000,1659
2023-01-26 12:32:28.737000,1659
2023-01-26 12:32:29.736000,1659
2023-01-26 12:32:30.737000,1659
2023-01-26 12:32:31.736000,1659
2023-01-26 12:32:32.736000,1659
2023-01-26 12:32:33.735000,2692
2023-01-26 12:32:34.736000,948
2023-01-26 12:32:35.735000,948
2023-01-26 12:32:36.735000,948
2023-01-26 12:32:37.734000,948
2023-01-26 12:32:38.735000,948
2023-01-26 12:32:39.734000,948
2023-01-26 12:32:40.734000,948
