FD:A1:04:E0:B2:92,name
datetime,value
2023-01-25 20:59:23.256000,{x : -0.218, y : 0.954, z : -0.025}
2023-01-25 20:59:24.539000,{x : -0.234, y : 0.948, z : -0.008}
2023-01-25 20:59:25.823000,{x : -0.241, y : 0.964, z : -0.008}
2023-01-25 20:59:27.106000,{x : -0.091, y : 0.956, z : -0.170}
2023-01-25 20:59:28.387000,{x : -0.095, y : 0.988, z : 0.019}
2023-01-25 20:59:29.671000,{x : -0.106, y : 0.959, z : 0.042}
2023-01-25 20:59:30.954000,{x : -0.232, y : 1.052, z : 0.015}
2023-01-25 20:59:32.237000,{x : -0.049, y : 0.986, z : -0.030}
2023-01-25 20:59:33.519000,{x : -0.134, y : 0.979, z : -0.083}
2023-01-25 20:59:34.802000,{x : -0.083, y : 0.981, z : -0.031}
2023-01-25 20:59:36.085000,{x : -0.118, y : 0.975, z : -0.075}
2023-01-25 20:59:37.368000,{x : -0.121, y : 0.973, z : 0.010}
2023-01-25 20:59:38.652000,{x : -0.076, y : 0.988, z : -0.082}
2023-01-25 20:59:39.933000,{x : -0.132, y : 0.983, z : -0.073}
2023-01-25 20:59:41.217000,{x : -0.254, y : 0.959, z : -0.014}
2023-01-25 20:59:42.500000,{x : -0.121, y : 0.978, z : 0.022}
2023-01-25 20:59:43.783000,{x : -0.079, y : 0.990, z : -0.015}
2023-01-25 20:59:45.066000,{x : -0.248, y : 0.959, z : -0.033}
2023-01-25 20:59:46.348000,{x : -0.204, y : 0.962, z : 0.003}
2023-01-25 20:59:47.631000,{x : 0.021, y : 0.998, z : -0.001}
2023-01-25 20:59:48.914000,{x : 0.031, y : 0.995, z : -0.008}
2023-01-25 20:59:50.198000,{x : -0.238, y : 1.003, z : 0.000}
2023-01-25 20:59:51.479000,{x : -0.004, y : 0.974, z : 0.002}
2023-01-25 20:59:52.762000,{x : -0.102, y : 0.993, z : 0.031}
2023-01-25 20:59:54.046000,{x : -0.035, y : 0.987, z : -0.037}
2023-01-25 20:59:55.329000,{x : -0.089, y : 0.991, z : -0.007}
2023-01-25 20:59:56.611000,{x : -0.145, y : 0.982, z : -0.021}
2023-01-25 20:59:57.894000,{x : -0.158, y : 0.912, z : -0.259}
2023-01-25 20:59:59.177000,{x : -0.088, y : 1.008, z : -0.102}
2023-01-25 21:00:00.460000,{x : -0.398, y : 0.972, z : -0.370}
2023-01-25 21:00:01.742000,{x : 0.014, y : 1.004, z : -0.111}
2023-01-25 21:00:03.025000,{x : -0.017, y : 0.953, z : 0.166}
2023-01-25 21:00:04.308000,{x : -0.196, y : 1.008, z : -0.151}
2023-01-25 21:00:05.592000,{x : 0.009, y : 1.012, z : -0.040}
2023-01-25 21:00:06.873000,{x : -0.008, y : 1.007, z : -0.005}
2023-01-25 21:00:08.157000,{x : -0.168, y : 0.975, z : -0.010}
2023-01-25 21:00:09.440000,{x : -0.112, y : 0.990, z : 0.010}
2023-01-25 21:00:10.723000,{x : -0.105, y : 0.982, z : 0.027}
2023-01-25 21:00:12.006000,{x : -0.076, y : 0.991, z : 0.029}
2023-01-25 21:00:13.288000,{x : -0.102, y : 0.991, z : 0.034}
2023-01-25 21:00:14.571000,{x : -0.083, y : 0.984, z : -0.028}
2023-01-25 21:00:15.854000,{x : -0.083, y : 0.980, z : 0.027}
2023-01-25 21:00:17.137000,{x : -0.109, y : 0.981, z : 0.086}
2023-01-25 21:00:18.421000,{x : -0.110, y : 0.982, z : 0.090}
2023-01-25 21:00:19.702000,{x : -0.100, y : 0.979, z : 0.100}
2023-01-25 21:00:20.986000,{x : -0.100, y : 1.017, z : 0.031}
2023-01-25 21:00:22.269000,{x : -0.067, y : 1.006, z : 0.027}
2023-01-25 21:00:23.552000,{x : 0.004, y : 1.006, z : -0.011}
2023-01-25 21:00:24.835000,{x : -0.285, y : 0.870, z : -0.204}
2023-01-25 21:00:26.117000,{x : 0.142, y : 0.983, z : -0.196}
2023-01-25 21:00:27.400000,{x : -0.041, y : 0.980, z : 0.118}
2023-01-25 21:00:28.683000,{x : -0.060, y : 0.925, z : -0.400}
2023-01-25 21:00:29.967000,{x : -0.034, y : 0.971, z : 0.189}
2023-01-25 21:00:31.248000,{x : -0.124, y : 1.012, z : -0.313}
